TS,VAL
2022-02-01 00:00:00,124
2022-02-01 00:01:00,128
2022-02-01 00:02:00,132
2022-02-01 00:03:00,136
2022-02-01 00:04:00,139
2022-02-01 00:05:00,142
2022-02-01 00:06:00,145
2022-02-01 00:07:00,148
2022-02-01 00:08:00,150
2022-02-01 00:09:00,152
2022-02-01 00:10:00,153
2022-02-01 00:11:00,155
2022-02-01 00:12:00,156
2022-02-01 00:13:00,156
2022-02-01 00:14:00,157
2022-02-01 00:15:00,157
2022-02-01 00:16:00,157
2022-02-01 00:17:00,156
2022-02-01 00:18:00,155
2022-02-01 00:19:00,153
2022-02-01 00:20:00,152
2022-02-01 00:21:00,150
2022-02-01 00:22:00,147
2022-02-01 00:23:00,145
2022-02-01 00:24:00,142
2022-02-01 00:25:00,139
2022-02-01 00:26:00,135
2022-02-01 00:27:00,131
2022-02-01 00:28:00,126
2022-02-01 00:29:00,122
2022-02-01 00:30:00,117
2022-02-01 00:31:00,111
2022-02-01 00:32:00,106
2022-02-01 00:33:00,100
2022-02-01 00:34:00,94
2022-02-01 00:35:00,88
2022-02-01 00:36:00,81
2022-02-01 00:37:00,75
2022-02-01 00:38:00,68
2022-02-01 00:39:00,60
2022-02-01 00:40:00,53
2022-02-01 00:41:00,45
2022-02-01 00:42:00,37
2022-02-01 00:43:00,29
2022-02-01 00:44:00,21
2022-02-01 00:45:00,13
2022-02-01 00:46:00,5
2022-02-01 00:47:00,-4
2022-02-01 00:48:00,-12
2022-02-01 00:49:00,-20
2022-02-01 00:50:00,-28
2022-02-01 00:51:00,-37
2022-02-01 00:52:00,-45
2022-02-01 00:53:00,-53
2022-02-01 00:54:00,-61
2022-02-01 00:55:00,-69
2022-02-01 00:56:00,-77
2022-02-01 00:57:00,-85
2022-02-01 00:58:00,-92
2022-02-01 00:59:00,-99
2022-02-01 01:00:00,-106
2022-02-01 01:01:00,-113
2022-02-01 01:02:00,-120
2022-02-01 01:03:00,-126
2022-02-01 01:04:00,-132
2022-02-01 01:05:00,-138
2022-02-01 01:06:00,-144
2022-02-01 01:07:00,-149
2022-02-01 01:08:00,-154
2022-02-01 01:09:00,-159
2022-02-01 01:10:00,-164
2022-02-01 01:11:00,-168
2022-02-01 01:12:00,-171
2022-02-01 01:13:00,-175
2022-02-01 01:14:00,-178
2022-02-01 01:15:00,-180
2022-02-01 01:16:00,-183
2022-02-01 01:17:00,-184
2022-02-01 01:18:00,-186
2022-02-01 01:19:00,-186
2022-02-01 01:20:00,-187
2022-02-01 01:21:00,-187
2022-02-01 01:22:00,-186
2022-02-01 01:23:00,-186
2022-02-01 01:24:00,-185
2022-02-01 01:25:00,-183
2022-02-01 01:26:00,-182
2022-02-01 01:27:00,-180
2022-02-01 01:28:00,-177
2022-02-01 01:29:00,-174
2022-02-01 01:30:00,-170
2022-02-01 01:31:00,-166
2022-02-01 01:32:00,-161
2022-02-01 01:33:00,-157
2022-02-01 01:34:00,-152
2022-02-01 01:35:00,-146
2022-02-01 01:36:00,-140
2022-02-01 01:37:00,-134
2022-02-01 01:38:00,-127
2022-02-01 01:39:00,-121
2022-02-01 01:40:00,-114
2022-02-01 01:41:00,-107
2022-02-01 01:42:00,-100
2022-02-01 01:43:00,-93
